Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
976,786,2,2866
607,928,1,2055
382,854,2,1305
622,907,1,1904
43,694,1,236
454,474,2,1429
835,78,1,456
928,111,1,457
629,530,1,1736
78,435,3,427
348,580,116,1330
940,864,4,3172
354,819,3,1237
329,259,7,886
863,264,1,1153
490,838,2,1809
49,97,1,257
765,782,17,2612
950,739,1,2425
40,344,8,366
432,493,1,1758
817,619,1,2053
922,97,1,408
729,550,1,1878
626,159,1,592
985,973,1,3182
738,276,6,1132
188,444,4,702
447,868,1,1408
702,661,1,2201
131,192,1,531
850,531,1,1798
640,967,1,2246
312,941,1,1256
705,351,3,1220
285,488,1,1034
196,453,1,793
106,117,1,466
549,187,1,658
667,526,1,1685
345,3,3,118
499,434,1,1511
278,38,2,269
229,76,1,381
906,931,1,2908
736,36,4,371
474,586,2,1551
567,113,1,432
552,230,46,884
53,608,1,262
581,689,1,1805
95,776,1,410
494,553,1,1664
892,394,2,1291
91,910,91,437
920,435,5,1533
912,418,38,1473
220,542,2,937
455,449,1,1572
617,712,1,1947
731,705,1,2320
748,204,68,888
642,666,6,2048
668,545,1,1800
247,720,1,900
152,827,1,642
761,246,1,911
954,254,2,883
150,198,6,727
647,240,1,1064
107,566,1,456
674,371,1,1185
335,246,1,876
912,142,2,515
46,880,2,286
853,776,1,2429
936,952,8,3392
331,577,1,1047
969,998,1,3139
121,216,1,446
717,272,1,958
394,829,1,1248
870,348,174,1340
434,19,1,181
545,81,1,404
259,3,1,110
998,284,2,975
373,685,1,1320
881,636,1,2183
826,926,2,2589
516,30,6,287
53,803,1,250
982,383,1,1194
380,950,190,1481
380,852,4,1400
517,449,1,1492
476,911,1,1667
277,345,1,958
610,711,1,1983
715,154,11,663
143,325,13,578
508,492,4,1726
609,881,1,1982
176,489,1,732
516,353,1,1185
767,383,1,1308
383,819,1,1207
186,364,2,739
202,917,1,705
665,933,1,2192
120,182,2,651
381,595,1,1277
444,10,2,171
291,53,1,255
720,6,6,189
558,214,2,730
330,65,5,333
705,290,5,1083
297,233,1,772
131,165,1,482
585,897,39,2030
899,967,1,2940
67,436,1,287
682,620,62,2173
704,347,1,1164
553,824,1,1759
880,933,1,3019
418,675,1,1425
294,709,1,1100
727,13,1,148
66,636,6,462
578,747,1,1853
52,635,1,292
37,701,1,174
867,167,1,570
865,803,1,2623
415,115,5,478
770,833,7,2609
551,803,1,1759
453,606,3,1531
149,357,1,529
429,380,1,1411
641,199,1,697
54,935,1,334
907,132,1,649
299,324,1,1001
119,877,1,458
70,171,1,399
511,106,1,443
223,729,1,744
624,439,1,1463
531,390,3,1545
553,652,1,1767
223,455,1,773
455,27,1,191
61,955,1,280
383,841,1,1253
687,23,1,161
39,92,1,223
957,945,3,3192
576,608,32,2171
620,694,2,2057
484,690,2,1659
216,346,2,942
147,438,3,590
74,123,1,334
876,956,4,2858
512,781,1,1687
960,86,2,431
235,414,1,819
464,647,1,1563
720,846,18,2752
488,406,2,1387
221,526,1,758
850,529,1,1731
823,425,1,1407
136,442,34,588
118,619,1,463
483,334,1,1110
316,630,2,1103
123,741,3,494
752,999,1,2385
49,615,1,258
779,8,1,138
701,365,1,1225
773,164,1,633
12,492,12,231
362,851,1,1176
250,582,2,964
728,99,1,444
462,550,22,1736
523,598,1,1658
344,640,8,1210
568,826,2,1884
325,884,13,1147
455,448,7,1614
976,558,2,1928
798,24,6,269
173,928,1,586
31,873,1,183
292,803,73,1004
388,655,1,1282
295,749,1,987
857,896,1,2697
682,585,1,2050
994,144,2,732
486,868,2,1684
741,829,1,2401
507,660,3,1661
655,184,1,714
895,461,1,1538
983,871,1,2873
19,780,1,153
894,191,1,647
707,277,1,871
415,350,5,1354
79,802,1,320
357,725,1,1242
903,213,3,765
620,584,4,1933
149,965,1,538
79,635,1,336
832,171,1,651
463,691,1,1543
831,469,1,1509
874,725,1,2374
930,856,2,2719
947,948,1,3048
987,841,1,2593
490,45,5,295
117,904,1,499
394,547,1,1268
57,102,3,298
272,959,1,981
315,243,9,905
895,463,1,1467
208,973,1,810
449,391,1,1277
144,912,48,872
81,326,1,407
380,306,2,1157
402,661,1,1366
161,349,1,604
960,499,1,1670
541,449,1,1360
543,9,3,154
704,289,1,1017
555,761,1,1893
390,178,2,688
71,56,1,334
421,965,1,1290
871,980,1,2703
290,319,29,1070
370,785,5,1284
230,451,1,859
110,962,2,550
756,863,1,2730
974,269,1,858
211,934,1,724
119,103,1,384
734,662,2,2137
111,438,3,440
950,18,2,189
