Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
708,83,1,344
611,863,1,1782
663,397,1,1183
753,287,1,866
846,213,3,700
373,495,1,1150
248,953,1,879
213,661,1,729
658,941,1,2053
348,534,6,1160
185,895,5,615
132,911,1,604
615,246,123,428
881,456,1,1584
353,335,1,1090
279,412,1,957
417,889,1,1258
275,79,1,329
637,379,1,1065
365,834,1,1227
591,89,1,362
328,838,2,1148
41,540,1,208
851,698,1,2012
833,198,1,861
584,17,1,144
93,67,1,280
279,707,1,962
312,160,8,624
515,16,1,157
494,145,1,553
428,262,2,808
33,54,3,204
340,21,1,188
432,57,3,259
854,374,2,1263
497,182,7,681
564,538,2,1540
721,414,1,1341
235,905,5,727
963,170,1,624
922,55,1,283
236,552,4,792
114,899,1,511
63,980,7,311
915,908,1,2598
124,694,2,509
169,508,1,567
747,861,3,2215
528,530,2,1909
269,733,1,817
903,765,3,2302
914,818,2,2337
302,987,1,938
231,889,7,801
891,194,1,654
410,164,82,327
600,646,2,2030
68,65,1,308
544,130,2,518
396,810,18,1298
390,519,3,1390
503,558,1,1446
26,601,1,193
770,905,5,2456
130,38,2,222
638,385,11,1180
155,903,1,545
202,808,202,80
241,785,1,711
696,132,12,488
330,458,2,1258
647,281,1,866
103,714,1,390
346,998,2,1097
196,741,1,758
808,585,1,1856
612,662,2,2057
494,637,13,1513
263,264,1,796
894,744,6,2295
653,883,1,1842
480,807,3,1708
785,34,1,247
615,26,1,291
170,662,2,656
509,499,1,1578
119,155,1,484
779,573,1,1722
221,476,17,629
571,768,1,1566
217,730,1,720
704,828,4,2194
391,197,1,633
816,5,1,101
812,61,1,258
101,465,1,383
943,580,1,1813
623,728,7,1870
965,237,1,764
105,134,1,471
251,613,1,790
632,369,1,1156
119,411,1,449
294,691,1,1071
238,864,2,869
810,454,2,1326
593,513,1,1680
633,983,1,1858
62,801,1,300
340,873,1,1223
861,440,1,1538
689,804,1,1971
371,312,1,1158
883,336,1,1393
900,987,3,3045
469,150,1,698
951,101,1,425
871,421,1,1202
863,164,1,659
112,100,4,434
379,921,1,1155
906,971,1,2621
786,890,2,2263
305,847,1,1053
690,644,46,1762
71,551,1,281
83,760,1,345
706,454,2,1344
423,588,3,1261
141,322,1,536
926,609,1,1795
824,876,4,2442
61,46,1,245
296,275,1,884
209,759,11,692
727,587,1,1661
32,632,8,182
909,817,1,2337
521,213,1,683
15,211,1,250
209,85,1,352
113,643,1,406
196,818,2,728
96,618,6,478
405,588,3,1323
292,330,2,917
197,467,1,584
557,257,1,844
512,204,4,767
532,72,4,372
963,258,3,865
10,994,2,144
241,918,1,769
162,113,1,404
482,176,2,666
323,690,1,1095
612,787,1,2052
333,808,1,1112
604,780,4,1736
777,360,3,1467
368,420,4,1225
41,916,1,219
886,597,1,1716
172,749,1,656
153,55,1,272
172,115,1,435
664,181,1,563
460,904,4,1536
450,621,9,1622
17,284,1,138
148,691,1,566
325,759,1,1055
478,9,1,143
918,433,1,1259
789,47,1,223
793,508,1,1621
466,833,1,1410
775,704,1,2270
782,946,2,2299
804,934,2,2474
353,976,1,1105
48,16,16,90
508,859,1,1556
272,310,2,975
831,640,1,2185
593,978,1,1771
330,269,1,827
88,159,1,441
278,358,2,876
592,418,2,1355
404,384,4,1413
277,221,1,745
568,51,1,302
276,349,1,1045
348,80,4,433
282,700,2,940
407,681,1,1244
68,266,2,337
891,691,1,2045
575,721,1,1804
330,519,3,1257
50,11,1,147
788,490,2,1577
170,65,5,284
847,113,1,405
834,602,2,1812
848,110,2,489
822,415,1,1206
160,98,2,418
116,507,1,480
529,749,1,1524
559,935,1,1627
782,626,2,1800
552,672,24,1645
316,479,1,1024
745,997,1,2166
997,794,1,2400
7,136,1,111
283,528,1,883
552,129,3,463
640,385,5,1167
730,487,1,1435
494,904,2,1506
254,653,1,786
353,721,1,1065
512,881,1,1612
469,70,7,333
167,602,1,570
695,718,1,2027
626,362,2,1075
196,370,2,746
358,545,1,1128
163,364,1,521
680,446,2,1290
892,584,4,1712
926,883,1,2417
968,8,8,96
722,814,2,2044
911,327,1,995
818,263,1,794
47,329,47,91
495,867,3,1589
398,661,1,1268
469,92,1,417
730,446,2,1297
805,278,1,848
815,162,1,629
822,977,1,2420
878,853,1,2355
774,769,1,2160
436,52,4,263
3,756,3,89
59,724,1,260
921,321,3,966
50,738,2,274
935,448,1,1531
67,429,1,295
315,464,1,1130
441,135,9,545
908,170,2,674
580,712,4,1799
447,394,1,1184
226,620,2,745
722,103,1,372
473,496,1,1413
223,260,1,693
899,225,1,824
367,957,1,1098
301,287,7,901
629,350,1,1183
25,563,1,188
150,91,1,381
343,464,1,1059
906,783,3,2426
950,813,1,2278
952,881,1,2477
877,751,1,2066
274,454,2,858
370,347,1,1061
556,194,2,651
194,130,2,543
806,92,2,421
354,172,2,647
400,6,2,122
459,28,1,233
708,835,1,2193
590,857,1,1839
925,932,1,2802
672,182,14,584
714,621,3,1904
995,18,1,198
501,223,1,692
120,126,6,519
676,841,1,2066
