Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
833,198,1,156
584,17,1,134
93,67,1,157
279,707,1,173
312,160,8,109
515,16,1,103
494,145,1,177
428,262,2,167
33,54,3,116
340,21,1,120
432,57,3,138
854,374,2,147
497,182,7,182
564,538,2,126
721,414,1,166
235,905,5,166
963,170,1,110
922,55,1,155
236,552,4,120
114,899,1,166
63,980,7,130
915,908,1,105
124,694,2,143
169,508,1,90
747,861,3,139
528,530,2,108
269,733,1,187
903,765,3,118
914,818,2,126
302,987,1,174
231,889,7,150
891,194,1,175
410,164,82,97
600,646,2,88
68,65,1,96
544,130,2,157
396,810,18,100
390,519,3,97
503,558,1,109
26,601,1,142
770,905,5,152
130,38,2,145
638,385,11,130
155,903,1,154
202,808,202,75
241,785,1,148
696,132,12,136
330,458,2,169
647,281,1,172
103,714,1,111
346,998,2,180
196,741,1,200
808,585,1,205
612,662,2,105
494,637,13,118
263,264,1,80
894,744,6,105
653,883,1,199
480,807,3,153
785,34,1,116
615,26,1,112
170,662,2,191
509,499,1,120
119,155,1,143
779,573,1,199
221,476,17,127
571,768,1,166
217,730,1,161
704,828,4,102
391,197,1,135
816,5,1,107
812,61,1,187
101,465,1,181
943,580,1,186
623,728,7,99
965,237,1,104
105,134,1,147
251,613,1,179
632,369,1,184
119,411,1,133
294,691,1,156
238,864,2,154
810,454,2,175
593,513,1,148
633,983,1,205
62,801,1,145
340,873,1,159
861,440,1,131
689,804,1,85
371,312,1,130
883,336,1,172
900,987,3,116
469,150,1,189
951,101,1,167
871,421,1,152
863,164,1,170
112,100,4,123
379,921,1,152
906,971,1,134
786,890,2,161
305,847,1,176
690,644,46,90
71,551,1,187
83,760,1,189
706,454,2,144
423,588,3,184
141,322,1,180
926,609,1,173
824,876,4,120
61,46,1,107
296,275,1,111
209,759,11,160
727,587,1,184
32,632,8,98
909,817,1,132
521,213,1,169
15,211,1,96
209,85,1,154
113,643,1,193
196,818,2,143
96,618,6,149
405,588,3,167
292,330,2,102
197,467,1,149
557,257,1,117
512,204,4,125
532,72,4,170
963,258,3,143
10,994,2,116
241,918,1,176
162,113,1,169
482,176,2,191
323,690,1,178
612,787,1,126
333,808,1,160
604,780,4,141
777,360,3,150
368,420,4,125
41,916,1,115
886,597,1,160
172,749,1,171
153,55,1,178
172,115,1,105
664,181,1,147
460,904,4,135
450,621,9,122
17,284,1,116
148,691,1,127
325,759,1,126
478,9,1,110
918,433,1,139
789,47,1,190
793,508,1,190
466,833,1,190
775,704,1,128
782,946,2,198
804,934,2,160
353,976,1,179
48,16,16,94
508,859,1,155
272,310,2,119
831,640,1,208
593,978,1,188
330,269,1,184
88,159,1,177
278,358,2,152
592,418,2,153
404,384,4,115
277,221,1,166
568,51,1,143
276,349,1,190
348,80,4,147
282,700,2,180
407,681,1,179
68,266,2,207
891,691,1,130
575,721,1,174
330,519,3,147
50,11,1,143
788,490,2,172
170,65,5,154
847,113,1,133
834,602,2,164
848,110,2,183
822,415,1,128
160,98,2,167
116,507,1,202
529,749,1,177
559,935,1,169
782,626,2,119
552,672,24,141
316,479,1,149
745,997,1,130
997,794,1,167
7,136,1,141
283,528,1,183
552,129,3,168
640,385,5,128
730,487,1,96
494,904,2,176
254,653,1,163
353,721,1,160
512,881,1,204
469,70,7,153
167,602,1,194
695,718,1,153
626,362,2,196
196,370,2,134
358,545,1,154
163,364,1,171
680,446,2,184
892,584,4,135
926,883,1,134
968,8,8,84
722,814,2,145
911,327,1,167
818,263,1,149
47,329,47,95
495,867,3,130
398,661,1,157
469,92,1,125
730,446,2,141
805,278,1,185
815,162,1,107
822,977,1,208
878,853,1,118
774,769,1,109
436,52,4,126
3,756,3,101
59,724,1,174
921,321,3,153
50,738,2,121
935,448,1,160
67,429,1,155
315,464,1,155
441,135,9,119
908,170,2,153
580,712,4,151
447,394,1,139
226,620,2,193
722,103,1,88
473,496,1,163
223,260,1,147
899,225,1,125
367,957,1,182
301,287,7,100
629,350,1,178
25,563,1,132
150,91,1,152
343,464,1,149
906,783,3,145
950,813,1,149
952,881,1,128
877,751,1,124
274,454,2,158
370,347,1,114
556,194,2,163
194,130,2,96
806,92,2,174
354,172,2,133
400,6,2,117
459,28,1,131
708,835,1,194
590,857,1,162
925,932,1,101
672,182,14,135
714,621,3,129
995,18,1,147
501,223,1,112
120,126,6,90
676,841,1,144
472,583,1,130
387,18,9,96
712,192,8,159
109,417,1,175
363,509,1,172
423,173,1,130
536,130,2,99
7,478,1,134
338,283,1,106
409,9,1,100
465,475,5,106
629,811,1,173
844,481,1,140
385,315,35,100
606,60,6,108
155,429,1,178
994,893,1,131
446,705,1,199
84,555,3,158
121,799,1,160
415,895,5,175
971,950,1,93
376,330,2,140
427,713,1,164
964,188,4,115
721,428,1,175
14,701,1,122
590,209,1,159
181,974,1,175
523,138,1,172
385,29,1,143
567,378,189,94
922,364,2,163
434,357,7,154
270,555,15,136
155,684,1,201
801,478,1,159
986,177,1,133
807,764,1,163
889,770,7,120
303,962,1,192
550,316,2,139
662,139,1,188
876,843,3,124
465,750,15,148
332,201,1,192
131,898,1,173
579,404,1,156
614,12,2,96
760,883,1,184
918,915,3,79
567,71,1,100
392,552,8,165
247,550,1,198
667,487,1,213
671,970,1,163
448,572,4,173
285,110,5,156
63,513,9,95
304,527,1,161
262,635,1,185
727,392,1,148
885,657,3,132
795,498,3,163
21,907,1,104
380,290,10,132
173,298,1,158
360,916,4,132
201,958,1,209
465,868,31,152
445,487,1,130
837,892,1,189
59,473,1,83
353,121,1,101
985,656,1,157
999,599,1,124
291,77,1,157
342,527,1,183
734,489,1,100
24,106,2,147
395,755,5,160
747,567,9,129
53,107,1,100
482,253,1,143
64,298,2,134
120,860,20,81
784,308,28,118
752,842,2,157
781,104,1,135
314,117,1,143
112,312,8,163
715,754,13,129
389,57,1,184
280,474,2,175
545,303,1,144
931,291,1,124
57,677,1,118
857,461,1,121
135,690,15,82
714,551,1,209
987,185,1,119
410,770,10,123
493,161,1,109
964,625,1,198
617,277,1,145
741,728,13,103
589,808,1,176
481,329,1,135
216,760,8,141
802,112,2,125
414,732,6,136
402,822,6,119
760,610,10,88
283,895,1,178
299,996,1,172
445,285,5,155
532,206,2,178
406,24,2,109
367,369,1,94
1000,335,5,104
646,741,19,120
62,586,2,160
900,894,6,80
914,115,1,100
653,67,1,153
226,418,2,126
798,627,57,113
239,909,1,169
236,521,1,162
803,534,1,123
868,599,1,194
170,400,10,126
805,575,115,110
423,523,1,143
944,775,1,186
857,941,1,116
515,918,1,163
526,414,2,169
811,791,1,137
880,815,5,129
857,105,1,137
584,6,2,103
731,822,1,109
914,318,2,122
343,717,1,133
203,210,7,99
667,372,1,147
961,471,1,168
946,736,2,160
993,241,1,163
510,849,3,132
181,24,1,129
118,58,2,98
789,280,1,131
848,668,4,145
446,56,2,99
124,29,1,162
61,206,1,156
851,975,1,177
523,545,1,155
43,77,1,143
106,61,1,170
