Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
653,287,1,2000
206,730,2,1400
559,457,1,2400
821,310,1,1800
69,358,1,900
118,866,2,900
208,312,104,1500
166,454,2,1100
641,206,1,1300
210,314,2,1500
3,430,1,500
637,245,49,1600
113,740,1,800
709,26,1,500
803,238,1,1400
873,652,1,3200
205,747,1,1300
285,564,3,1600
425,225,25,1800
802,928,2,3800
471,974,1,2300
375,678,3,2000
609,137,1,1400
133,322,7,900
356,754,2,1900
209,516,1,1300
148,47,1,500
931,565,1,2600
718,273,1,1700
23,11,1,500
420,47,1,500
529,460,23,2600
917,929,1,4300
351,592,1,2100
107,271,1,800
66,177,3,800
377,482,1,1900
428,991,1,2400
685,947,1,3100
120,39,3,500
554,844,2,2900
839,76,1,700
561,148,1,1000
839,849,1,3600
777,255,3,1500
177,462,3,1000
300,868,4,2100
834,489,3,2300
708,888,12,3600
354,222,6,1400
414,596,2,2200
268,978,2,1400
149,531,1,900
453,933,3,2200
474,47,1,600
105,566,1,900
620,444,4,2300
226,339,113,1200
474,300,6,2000
154,681,1,1100
960,324,12,2000
907,57,1,600
290,423,1,1600
820,444,4,2400
730,666,2,3400
831,200,1,1400
696,32,8,900
337,811,1,1800
539,287,7,1600
746,39,1,700
331,571,1,1700
334,583,1,1600
936,433,1,2100
619,521,1,2500
896,599,1,2800
636,668,4,3200
637,338,13,2100
69,652,1,900
14,31,1,300
951,284,1,1500
528,54,6,900
974,443,1,2000
155,780,5,1100
634,947,1,3000
761,64,1,700
491,718,1,2300
917,793,1,3500
328,561,1,1700
513,445,1,2100
850,245,5,1300
146,813,1,1100
316,443,1,2200
568,135,1,1100
174,512,2,1100
640,76,4,900
731,226,1,1500
876,220,4,1500
327,50,1,700
231,102,3,1500
325,610,5,2000
657,157,1,1000
223,553,1,1300
674,743,1,2900
39,764,1,600
284,791,1,1600
174,544,2,1200
89,470,1,600
196,429,1,1300
743,5,1,300
783,541,1,2600
417,310,1,1800
631,813,1,3200
409,388,1,2000
17,451,1,400
978,328,2,1900
546,889,7,2900
835,846,1,3700
831,537,3,2600
352,359,1,2000
691,178,1,1000
419,999,1,2000
897,553,1,2600
668,466,2,2400
778,771,1,3500
548,147,1,1000
112,282,2,1000
368,549,1,2000
628,542,2,2500
988,158,2,1100
598,558,2,2700
230,689,1,1400
403,56,1,600
757,90,1,900
859,533,1,2400
554,103,1,700
12,112,4,400
477,813,3,2400
745,889,1,3300
371,65,1,600
71,940,1,700
62,49,1,600
497,919,1,2400
598,210,2,1500
666,469,1,2200
639,650,1,3200
436,620,4,2300
595,408,17,2300
502,246,2,1500
353,835,1,1700
435,814,1,2300
349,809,1,1800
465,137,1,1300
179,194,1,1200
31,735,1,400
230,291,1,1500
51,433,1,700
62,879,1,600
394,582,2,2400
986,771,1,4000
961,673,1,3000
81,664,1,900
788,293,1,1600
295,383,1,1600
493,548,1,2200
942,704,2,3700
807,60,3,900
963,140,1,1400
483,75,3,1000
707,548,1,2900
955,452,1,2300
590,73,1,500
197,466,1,1100
483,717,3,2800
611,501,1,2600
492,81,3,800
697,259,1,1500
194,217,1,1200
566,640,2,3000
564,805,1,2900
686,841,1,3100
845,73,1,600
110,822,2,900
92,592,4,900
2,542,2,200
943,268,1,1500
69,807,3,600
106,633,1,800
727,582,1,2800
421,699,1,2000
75,548,1,800
388,284,4,1600
329,354,1,1700
555,307,1,1500
961,134,1,900
713,930,31,3100
434,798,14,2200
236,998,2,1300
66,60,6,900
278,260,2,1700
230,179,1,1000
623,426,1,2100
812,977,1,3800
746,564,2,2800
359,814,1,1800
436,105,1,900
835,540,5,3000
491,661,1,2400
282,575,1,1600
899,383,1,1900
127,886,1,1000
831,150,3,1200
592,347,1,1600
758,519,1,2500
49,679,7,500
379,74,1,700
343,882,49,1800
249,79,1,600
209,10,1,400
